text,newOBJECTID,real,port_label,popular
"For Alexandria is approached by a treacherous harbour, with deceptive shallows and uncertain seas",12,1,LOW,1
"For Neapolis is approached by a treacherous harbour, with deceptive shallows and uncertain seas",129,0,LOW,1
"For Rhacotis is approached by a treacherous harbour, with deceptive shallows and uncertain seas",11,0,HIGH,1
"For Herculaneum is approached by a treacherous harbour, with deceptive shallows and uncertain seas",131,0,LOW,0
"For Rhoda is approached by a treacherous harbour, with deceptive shallows and uncertain seas",0,0,HIGH,0
"sacrificing in the temple of Castor and Pollux at Ostia, a calm smoothed the sea, the wind changed to a gentle southern breeze, and the ships entered the harbour under full sail and again crammed the storehouses with grain.",93,1,LOW,1
"sacrificing in the temple of Castor and Pollux at Rhoda, a calm smoothed the sea, the wind changed to a gentle southern breeze, and the ships entered the harbour under full sail and again crammed the storehouses with grain.",0,0,HIGH,0
"sacrificing in the temple of Castor and Pollux at Rhacotis, a calm smoothed the sea, the wind changed to a gentle southern breeze, and the ships entered the harbour under full sail and again crammed the storehouses with grain.",11,0,HIGH,1
"sacrificing in the temple of Castor and Pollux at Herculaneum, a calm smoothed the sea, the wind changed to a gentle southern breeze, and the ships entered the harbour under full sail and again crammed the storehouses with grain.",131,0,LOW,0
"sacrificing in the temple of Castor and Pollux at Neapolis, a calm smoothed the sea, the wind changed to a gentle southern breeze, and the ships entered the harbour under full sail and again crammed the storehouses with grain.",129,0,LOW,1
"For Ponte Aelius is approached by a treacherous harbour, with deceptive shallows and uncertain seas",96,0,MEDIUM,1
"sacrificing in the temple of Castor and Pollux at Ponte Aelius, a calm smoothed the sea, the wind changed to a gentle southern breeze, and the ships entered the harbour under full sail and again crammed the storehouses with grain.",96,0,MEDIUM,1
